# Citizen Ledger — state budget — COMPLETE LAYER EXPORT
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: Enacted appropriations on California's Budgetary-Legal basis, with Department of Finance prior-year actuals on the identical basis where published
# Gate tier: GATED — reproduces the Department of Finance's own statewide total
# Units: billions of dollars
# Measured as: ENACTED APPROPRIATIONS ON CALIFORNIA'S BUDGETARY-LEGAL BASIS, WITH DEPARTMENT OF FINANCE PRIOR-YEAR ACTUALS ON THE IDENTICAL BASIS WHERE PUBLISHED · BILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A row with an empty department is the AGENCY total, not a department. Do not sum agency rows and department rows together.
# Actuals arrive about six and a half months after a year ends, so the newest years carry enacted figures only — those actual_* cells are empty, not zero.
fiscal_year,agency,department,department_code,enacted_general_fund_busd,enacted_special_funds_busd,enacted_bond_funds_busd,enacted_federal_funds_busd,actual_general_fund_busd,actual_special_funds_busd,actual_bond_funds_busd,actual_federal_funds_busd
2022-23,General Government,Comm on Asian & Pacf Islndr Amer Affairs,8825,0.001,0,0,0,,,,
2022-23,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2022-23,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2022-23,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2022-23,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2022-23,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2022-23,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2022-23,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2022-23,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2022-23,General Government,Equity Claims & Settlements & Judgments,9670,0,0,0,0,,,,
2022-23,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2022-23,General Government,Public School System Stabilization Acct,9889,2.224,-2.224,0,0,,,,
2022-23,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.891,0.844,0,0,,,,
2022-23,Corrections and Rehabilitation,,,14.747,4.049,0,0.049,15.137,3.869,0,0.101
2022-23,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,13.796,0.199,0,0.002,14.318,0.161,0,0.002
2022-23,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.782,0.188,0,0.047,0.724,0.096,0,0.025
2022-23,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2022-23,"Legislative, Judicial, and Executive",,,11.774,-0.165,0.121,1.365,10.217,1.072,0.007,2.384
2022-23,"Legislative, Judicial, and Executive",Judicial Branch,0250,3.524,1.692,0,0.027,3.233,1.6,0,0.023
2022-23,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,4.943,-3.884,0.003,1.182,3.068,-1.813,0,2.16
2022-23,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.578,0.71,0,0.056,0.177,0.185,0,0.106
2022-23,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.57,0.407,0,0.001,1.685,0.108,0,0.001
2022-23,"Legislative, Judicial, and Executive",Department of Justice,0820,0.434,0.367,0,0.062,0.457,0.359,0,0.063
2022-23,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0.065,0.144,0.116,0,0.05,0.151,0.005,0
2022-23,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.006,0.319,0,0,0.006,0.316,0,0
2022-23,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.293,0,0,0,0.297,0,0,0
2022-23,"Legislative, Judicial, and Executive",Assembly,0120,0.224,0,0,0,0.224,0,0,0
2022-23,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.185,0,0.001,0.021,0.185,0,0.001,0.021
2022-23,"Legislative, Judicial, and Executive",State Controller,0840,0.191,0.012,0.001,0.002,0.105,0.013,0,0.001
2022-23,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.185,0,0,0,0.189,0,0,0
2022-23,"Legislative, Judicial, and Executive",Senate,0110,0.17,0,0,0,0.17,0,0,0
2022-23,"Legislative, Judicial, and Executive",Secretary of State,0890,0.1,0.038,0,0.014,0.085,0.05,0,0.009
2022-23,"Legislative, Judicial, and Executive",HOPE Trust Account Program Board,0957,0.1,0,0,0,0.1,0,0,0
2022-23,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0.05,0,0,0,0.05,0,0,0
2022-23,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.042,0,0,0,0.031,0,0,0
2022-23,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.032,0,0,0,0.029,0,0,0
2022-23,"Legislative, Judicial, and Executive",Office of Tax Appeals,0870,0.027,0,0,0,0.023,0,0,0
2022-23,"Legislative, Judicial, and Executive",Governors Office,0500,0.025,0,0,0,0.025,0,0,0
2022-23,"Legislative, Judicial, and Executive",State Treasurer,0950,0.015,0,0,0,0.014,0,0,0
2022-23,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.014,0,0,0,0.01,0,0
2022-23,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.008,0,0,0,0.008,0,0
2022-23,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.007,0,0,0,0.006,0,0,0
2022-23,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,0,0.004,0,0
2022-23,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.003,0,0,0,0.002,0,0
2022-23,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.003,0,0,0,0.002,0,0,0
2022-23,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0.001,0,0,0,0.001,0,0,0
2022-23,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0.001,0,0,0,0,0,0
2022-23,"Legislative, Judicial, and Executive",Citizens Redistricting Commission,0911,0,0,0,0,0.002,0,0,0
2022-23,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,0,0,0,0
2022-23,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,0,0.08,0,0
2022-23,"Legislative, Judicial, and Executive",Legislators' Retirement Sys Contribution,0150,0,0,0,0,,,,
2022-23,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2022-23,"Legislative, Judicial, and Executive",Transportation Financing Authority,0964,0,0,0,0,,,,
2022-23,"Legislative, Judicial, and Executive",Urban Waterfront Restoration Fin Auth,0983,0,0,0,0,,,,
2022-23,"Legislative, Judicial, and Executive",CalSavers Retirement Savings Board,0984,0,0,0,0,,,,
2022-23,Natural Resources,,,8.59,1.985,0.677,0.321,8.679,2.339,0.816,0.235
2022-23,Natural Resources,"Department of Forestry, Fire Protection",3540,2.85,0.351,0,0.022,3.089,0.294,0,0.017
2022-23,Natural Resources,Department of Water Resources,3860,1.568,0.09,0.466,0.03,1.632,0.69,0.266,0.01
2022-23,Natural Resources,"Department of Parks, Recreation",3790,0.463,0.401,0.051,0.104,0.764,0.404,0.231,0.043
2022-23,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,0.395,0.408,0,0.006,0.538,0.278,0,0.005
2022-23,Natural Resources,Department of Fish and Wildlife,3600,0.273,0.33,0.054,0.094,0.314,0.3,0.044,0.09
2022-23,Natural Resources,State Coastal Conservancy,3760,0.411,0.088,0.03,0.011,0.079,0.015,0.03,0.011
2022-23,Natural Resources,Wildlife Conservation Board,3640,0.436,0.002,0.01,0.035,0.188,0.004,0.17,0.027
2022-23,Natural Resources,"Natural Resources Agency, Secy",0540,0.428,0.018,0.021,0,0.254,0.021,0.038,0
2022-23,Natural Resources,Department of Conservation,3480,0.158,0.136,0.001,0.006,0.156,0.194,0.006,0.024
2022-23,Natural Resources,California Conservation Corps,3340,0.179,0.054,0.005,0,0.121,0.055,0.002,0
2022-23,Natural Resources,State Lands Commission,3560,0.026,0.024,0,0,0.061,0.021,0,0
2022-23,Natural Resources,Exposition Park,3100,0.031,0.011,0,0,0.041,0.011,0,0
2022-23,Natural Resources,Office of Energy Infrastructure Safety,3355,0,0.042,0,0,0,0.025,0,0
2022-23,Natural Resources,Coastal Commission,3720,0.023,0.004,0,0.003,0.032,0.003,0,0.003
2022-23,Natural Resources,Tahoe Conservancy,3125,0.006,0.006,0.01,0.003,0.017,0.005,0.002,0.002
2022-23,Natural Resources,Delta Stewardship Council,3885,0.02,0.001,0,0.003,0.019,0.001,0,0.002
2022-23,Natural Resources,Santa Monica Mountains Conservancy,3810,0.022,0,0.001,0,0.019,0,0.007,0
2022-23,Natural Resources,Sierra Nevada Conservancy,3855,0.013,0.005,0,0.003,0.061,0.006,0,0.001
2022-23,Natural Resources,"San Gabriel,Lower LA River,Mtns Consvcy",3825,0.007,0.001,0.01,0,0.017,0,0.011,0
2022-23,Natural Resources,Sacramento-San Joaquin Delta Conservancy,3875,0.001,0,0.013,0.001,0.007,0,0.007,0
2022-23,Natural Resources,"SF Bay Conservation, Development Comm",3820,0.008,0.002,0,0,0.008,0.002,0,0
2022-23,Natural Resources,Special Resources Programs,3110,0,0.006,0,0,0,0.005,0,0
2022-23,Natural Resources,San Diego River Conservancy,3845,0.002,0,0.002,0,0.007,0,0,0
2022-23,Natural Resources,Native American Heritage Commission,3780,0.004,0,0,0,0.003,0,0,0
2022-23,Natural Resources,Delta Protection Commission,3840,0,0.001,0,0,0,0.001,0,0
2022-23,Natural Resources,Baldwin Hills Conservancy,3835,0,0,0.001,0,0,0,0.001,0
2022-23,Natural Resources,San Joaquin River Conservancy,3830,0,0.001,0.001,0,0.01,0.001,0,0
2022-23,Natural Resources,Coachella Valley Mountains Conservancy,3850,0,0,0,0,0.003,0,0.001,0
2022-23,Natural Resources,Environmental Protection Program,3210,0,0,0,0,,,,
2022-23,Natural Resources,Colorado River Board of California,3460,0,0,0,0,,,,
2022-23,Labor and Workforce Development,,,1.48,0.987,0,7.773,0.909,0.948,0,6.36
2022-23,Labor and Workforce Development,Employment Development Department,7100,1.061,0.257,0,7.73,0.621,0.231,0,6.315
2022-23,Labor and Workforce Development,Department of Industrial Relations,7350,0.124,0.723,0,0.036,0.124,0.713,0,0.038
2022-23,Labor and Workforce Development,California Workforce Development Board,7120,0.266,0.003,0,0.007,0.134,0.002,0,0.007
2022-23,Labor and Workforce Development,Public Employment Relations Board,7320,0.016,0,0,0,0.016,0,0,0
2022-23,Labor and Workforce Development,Agricultural Labor Relations Board,7300,0.01,0.001,0,0,0.011,0.001,0,0
2022-23,Labor and Workforce Development,"Labor and Workforce Development, Secy",0559,0.003,0.002,0,0,0.003,0.001,0,0
2022-23,"Business, Consumer Services, and Housing",,,3.699,1.182,0.937,1.444,3.272,1.082,1.08,2.913
2022-23,"Business, Consumer Services, and Housing","Dept of Housing, Community Development",2240,2.146,0.04,0.937,1.439,2.022,0.043,1.08,2.907
2022-23,"Business, Consumer Services, and Housing","Business, Consumer Svcs, Housing, Scty",0515,1.306,0.001,0,0,1.045,0.001,0,0
2022-23,"Business, Consumer Services, and Housing",Department of Consumer Affairs,1111,0.023,0.673,0,0,0.026,0.577,0,0
2022-23,"Business, Consumer Services, and Housing",Department of Cannabis Control,1115,0.022,0.179,0,0,0,0.15,0,0
2022-23,"Business, Consumer Services, and Housing",Dept Financial Protection and Innovation,1701,0.01,0.145,0,0,0.002,0.145,0,0
2022-23,"Business, Consumer Services, and Housing",Department of Alcoholic Beverage Control,2100,0.029,0.06,0,0,0.011,0.083,0,0
2022-23,"Business, Consumer Services, and Housing",Department of Real Estate,2320,0,0.058,0,0,0,0.061,0,0
2022-23,"Business, Consumer Services, and Housing","Department of Fair Employment, Housing",1700,0.049,0.001,0,0.006,0.057,0,0,0.006
2022-23,"Business, Consumer Services, and Housing",Horse Racing Board,1750,0,0.02,0,0,0,0.02,0,0
2022-23,"Business, Consumer Services, and Housing",California Privacy Protection Agency,1703,0.01,0,0,0,0.005,0,0,0
2022-23,"Business, Consumer Services, and Housing",Cannabis Control Appeals Panel,1045,0,0.003,0,0,0,0.002,0,0
2022-23,"Business, Consumer Services, and Housing",Alcoholic Beverage Control Appeals Board,2120,0,0.001,0,0,0,0.001,0,0
2022-23,Environmental Protection,,,1.19,5.166,0.014,0.402,1.191,4.28,0.107,0.351
2022-23,Environmental Protection,State Air Resources Board,3900,0.612,1.606,0.001,0.018,0.257,1.409,0,0.013
2022-23,Environmental Protection,Resources Recycling and Recovery,3970,0.121,2.113,0,0,0.142,1.609,0,0
2022-23,Environmental Protection,State Water Resources Control Board,3940,0.228,0.944,0.013,0.344,0.645,0.848,0.107,0.306
2022-23,Environmental Protection,Department of Toxic Substances Control,3960,0.185,0.343,0,0.038,0.111,0.265,0,0.03
2022-23,Environmental Protection,Department of Pesticide Regulation,3930,0.01,0.123,0,0.002,0.01,0.118,0,0.002
2022-23,Environmental Protection,"Environmental Protection, Secy",0555,0.017,0.018,0,0,0.008,0.014,0,0
2022-23,Environmental Protection,Environmental Health Hazard Assessment,3980,0.015,0.018,0,0,0.015,0.016,0,0
2022-23,Government Operations,,,5.914,-0.563,0.007,0.036,6.128,9.557,0.006,0.256
2022-23,Government Operations,Public Employees' Retirement System,7900,2.925,0,0,0,2.925,0,0,0
2022-23,Government Operations,Franchise Tax Board,7730,1.209,0.024,0,0,1.134,10.187,0,0
2022-23,Government Operations,Department of Tax and Fee Administration,7600,0.376,0.102,0,0,0.326,0.078,0,0
2022-23,Government Operations,Department of General Services,7760,1.089,-0.776,0.007,0,1.486,-0.754,0.006,0
2022-23,Government Operations,California Victim Compensation Board,7870,0.071,0.086,0,0.036,0.057,0.065,0,0.02
2022-23,Government Operations,Department of Technology,7502,0.157,0,0,0,0.11,0,0,0.235
2022-23,Government Operations,"Government Operations, Secretary",0511,0.049,0,0,0,0.058,-0.018,0,0
2022-23,Government Operations,Department of Human Resources,7501,0.033,0,0,0,0.026,0,0,0
2022-23,Government Operations,Office of Administrative Law,7910,0.003,0,0,0,0.003,0,0,0
2022-23,Government Operations,State Personnel Board,7503,0.003,0,0,0,0.002,0,0,0
2022-23,Government Operations,State Teachers' Retirement System,7920,0,0,0,0,,,,
2023-24,Health and Human Services,,,73.962,39.684,0,107.304,70.157,40.491,0,111.991
2023-24,Health and Human Services,State Department of Health Care Services,4260,38.266,23.18,0,91.492,,,,
2023-24,Health and Human Services,Department of Social Services,5180,21.653,0.194,0,11.851,,,,
2023-24,Health and Human Services,Department of Developmental Services,4300,8.545,0.449,0,0.06,,,,
2023-24,Health and Human Services,"State-Local Realignment, 1991",5195,0,7.288,0,0,,,,
2023-24,Health and Human Services,"State-Local Realignment, 2011",5196,0.021,6.396,0,0,,,,
2023-24,Health and Human Services,Department of Public Health,4265,0.997,1.165,0,2.249,,,,
2023-24,Health and Human Services,Department of State Hospitals,4440,3.293,0,0,0,,,,
2023-24,Health and Human Services,Department of Child Support Services,5175,0.379,0,0,0.699,,,,
2023-24,Health and Human Services,Dept Health Care Access and Information,4140,0.288,0.325,0,0.003,,,,
2023-24,Health and Human Services,Department of Rehabilitation,5160,0.082,0,0,0.471,,,,
2023-24,Health and Human Services,California Department of Aging,4170,0.181,0.005,0,0.172,,,,
2023-24,Health and Human Services,Children and Families Commission,4250,0,0.342,0,0,,,,
2023-24,Health and Human Services,Community Services and Development,4700,0,0.025,0,0.288,,,,
2023-24,Health and Human Services,Department of Managed Health Care,4150,0,0.161,0,0,,,,
2023-24,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.11,0.016,0,0.005,0.065,0.014,0,0.007
2023-24,Health and Human Services,California Health Benefit Exchange,4800,0.02,0.085,0,0,,,,
2023-24,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.048,0,0,,,,
2023-24,Health and Human Services,Emergency Medical Services Authority,4120,0.034,0.006,0,0.004,,,,
2023-24,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.009,,,,
2023-24,Health and Human Services,Commission on Aging,4180,0,0,0,0.001,,,,
2023-24,Health and Human Services,California Senior Legislature,4185,0,0,0,0,,,,
2023-24,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2023-24,K thru 12 Education,,,79.294,0.47,0.629,8.223,70.431,0.484,0.48,7.53
2023-24,K thru 12 Education,Department of Education,6100,70.396,0.084,0.004,8.204,62.44,0.096,0.003,7.514
2023-24,K thru 12 Education,Teachers Retirement System Contributions,6300,3.939,0,0,0,3.939,0,0,0
2023-24,K thru 12 Education,School Facilities Aid Program,6350,1.96,0.36,0.625,0,1.224,0.363,0.477,0
2023-24,K thru 12 Education,State Library,6120,0.689,0.001,0,0.018,0.281,0.001,0,0.015
2023-24,K thru 12 Education,Scholarshare Investment Board,0954,0.194,0,0,0,0.184,0,0,0
2023-24,K thru 12 Education,Commission on Teacher Credentialing,6360,0.032,0.024,0,0,0.032,0.025,0,0
2023-24,K thru 12 Education,Summer School for the Arts,6255,0.003,0,0,0,0.003,0,0,0
2023-24,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,0.001,0,0,0
2023-24,Higher Education,,,22.715,0.139,0.634,6.582,20.69,0.094,1.366,6.814
2023-24,Higher Education,University of California,6440,4.834,0.124,0,4.927,4.818,0.085,0,5.147
2023-24,Higher Education,Board of Governors of Community Colleges,6870,8.725,0.01,0.33,0,7.105,0.008,0.777,0
2023-24,Higher Education,California State University,6610,5.018,0.003,0,1.655,5.024,0.002,0,1.666
2023-24,Higher Education,Student Aid Commission,6980,2.924,0,0,0,2.89,0,0,0
2023-24,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.428,0,0,0,0.402,0,0,0
2023-24,Higher Education,Institute for Regenerative Medicine,6445,0,0.002,0.276,0,0,0,0.561,0
2023-24,Higher Education,"College of the Law, San Francisco",6600,0.027,0,0,0,0.027,0,0,0
2023-24,Transportation,,,3.44,17.464,0.095,8.756,2.58,15.357,0.081,9.455
2023-24,Transportation,Department of Transportation,2660,0.879,8.547,0.06,8.592,0.651,7.964,0.053,6.005
2023-24,Transportation,"Transportation, Secy",0521,2.05,0.985,0,0.128,1.54,0.037,0,0.121
2023-24,Transportation,Dept of the California Highway Patrol,2720,0.031,2.952,0,0.034,0.017,3.109,0,0.033
2023-24,Transportation,Department of Motor Vehicles,2740,0.053,1.398,0,0.001,0.052,1.451,0,0
2023-24,Transportation,State Transit Assistance,2640,0,1.267,0,0,0,1.246,0,0
2023-24,Transportation,High-Speed Rail Authority,2665,0,0.889,0.034,0,0,0.166,0.028,3.296
2023-24,Transportation,California Transportation Commission,2600,0,0.01,0.001,0,0,0.008,0,0
2023-24,Transportation,Board of Pilot Commissioners,2670,0,0.009,0,0,0,0.003,0,0
2023-24,Transportation,High-Speed Rail Auth Ofc Inspector Genrl,2667,0,0.001,0,0,0,0.001,0,0
2023-24,Corrections and Rehabilitation,,,14.75,3.793,0,0.078,14.988,3.808,0,0.105
2023-24,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,14.134,0,0,0.002,14.31,0,0,0.003
2023-24,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.565,0.137,0,0.077,0.625,0.118,0,0.039
2023-24,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2023-24,General Government,,,8.689,6.644,0.002,0.317,3.495,15.424,0.001,0.459
2023-24,General Government,Shared Revenues,9350,0,3.449,0,0.039,,,,
2023-24,General Government,Public Utilities Commission,8660,0.461,2.044,0,0.011,,,,
2023-24,General Government,"Health, Dental Benefits for Annuitants",9650,2.417,0,0,0,,,,
2023-24,General Government,Department of Food and Agriculture,8570,0.225,0.269,0.001,0.126,,,,
2023-24,General Government,Department of Veterans Affairs,8955,0.589,0.003,0.001,0.003,,,,
2023-24,General Government,Tax Relief,9100,0.415,0.003,0,0,,,,
2023-24,General Government,Augmentation for Employee Compensation,9800,0.122,0.263,0,0,,,,
2023-24,General Government,Military Department,8940,0.148,0.004,0,0.133,,,,
2023-24,General Government,Commission on State Mandates,8885,0.168,0.002,0,0,,,,
2023-24,General Government,Local Government Financing,9210,0.162,0,0,0,,,,
2023-24,General Government,Debt Service GO Bonds Commercial Paper,9600,0.098,0,0,0,,,,
2023-24,General Government,Financial Information System for CA,8880,0.068,0,0,0,,,,
2023-24,General Government,"Peace Officer Standards, Training Comm",8120,0.067,0,0,0,,,,
2023-24,General Government,Department of Finance,8860,0.058,0,0,0.003,,,,
2023-24,General Government,Contingencies-Emergencies Augmentation,9840,0.04,0.015,0,0,,,,
2023-24,General Government,Interest Payments to the Federal Govt,9625,0.045,0.003,0,0,,,,
2023-24,General Government,Arts Council,8260,0.037,0.002,0,0.001,,,,
2023-24,General Government,California State Auditor's Office,8855,0.028,0,0,0,,,,
2023-24,General Government,State Public Defender,8140,0.026,0,0,0,,,,
2023-24,General Government,Fair Political Practices Commission,8620,0.018,0,0,0,,,,
2023-24,General Government,Cash Management and Budgetary Loans,9620,0.017,0,0,0,,,,
2023-24,General Government,Trial Court Security-Court Construction,9285,0.011,0,0,0,,,,
2023-24,General Government,Trial Court Security - Judgeships,9286,0.007,0,0,0,,,,
2023-24,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2023-24,General Government,Comm on the Status of Women and Girls,8820,0.003,0,0,0,,,,
2023-24,General Government,"Capital Outlay Planning, Studies",9860,0.002,0,0,0,,,,
2023-24,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
2023-24,General Government,Comm on Asian & Pacf Islndr Amer Affairs,8825,0.001,0,0,0,,,,
2023-24,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2023-24,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2023-24,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2023-24,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2023-24,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2023-24,General Government,Youth Empowerment Commission,8815,0,0,0,0,,,,
2023-24,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2023-24,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2023-24,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2023-24,General Government,Equity Claims & Settlements & Judgments,9670,0,0,0,0,,,,
2023-24,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2023-24,General Government,Public School System Stabilization Acct,9889,0.903,-0.903,0,0,,,,
2023-24,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.728,0.728,0,0,,,,
2023-24,"Legislative, Judicial, and Executive",,,6.598,3.723,0.252,2.364,6.187,3.321,0.361,5.122
2023-24,"Legislative, Judicial, and Executive",Judicial Branch,0250,3.146,1.685,0,0.027,3.144,1.567,0,0.023
2023-24,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,0.644,0.235,0.003,2.167,0.483,0.328,0.003,4.901
2023-24,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.378,0.711,0,0.029,0.322,0.006,0,0.088
2023-24,"Legislative, Judicial, and Executive",Department of Justice,0820,0.487,0.41,0,0.068,0.489,0.367,0,0.06
2023-24,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.341,0.068,0,0.026,0.287,0.097,0,0.021
2023-24,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0.025,0.144,0.246,0,0.004,0.389,0.357,0
2023-24,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.007,0.331,0,0,0.006,0.318,0,0
2023-24,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.3,0,0,0,0.307,0,0,0
2023-24,"Legislative, Judicial, and Executive",State Controller,0840,0.231,0.013,0.001,0.002,0.123,0.013,0,0.001
2023-24,"Legislative, Judicial, and Executive",Assembly,0120,0.234,0,0,0,0.234,0,0,0
2023-24,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.195,0,0.001,0.021,0.195,0,0.001,0.01
2023-24,"Legislative, Judicial, and Executive",Secretary of State,0890,0.072,0.094,0,0.026,0.07,0.073,0,0.018
2023-24,"Legislative, Judicial, and Executive",Senate,0110,0.177,0,0,0,0.177,0,0,0
2023-24,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.173,0,0,0,0.177,0,0,0
2023-24,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.051,0,0,0,0.04,0,0,0
2023-24,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.033,0,0,0,0.027,0,0,0
2023-24,"Legislative, Judicial, and Executive",Office of Tax Appeals,0870,0.028,0,0,0,0.024,0,0,0
2023-24,"Legislative, Judicial, and Executive",Governors Office,0500,0.026,0,0,0,0.027,0,0,0
2023-24,"Legislative, Judicial, and Executive",HOPE for Children Trust Account Prog Bd,0957,0.015,0,0,0,0.015,0,0,0
2023-24,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.014,0,0,0,0.01,0,0
2023-24,"Legislative, Judicial, and Executive",State Treasurer,0950,0.012,0,0,0,0.015,0,0,0
2023-24,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.009,0,0,0,0.008,0,0
2023-24,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.007,0,0,0,0.007,0,0,0
2023-24,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,0,0.003,0,0
2023-24,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.004,0,0,0,0.003,0,0
2023-24,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.003,0,0,0,0.002,0,0,0
2023-24,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0.001,0,0,0,0.001,0,0,0
2023-24,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0.001,0,0,0,0,0,0
2023-24,"Legislative, Judicial, and Executive",Citizens Redistricting Commission,0911,0,0,0,0,0,0,0,0
2023-24,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,0,0,0,0
2023-24,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,0,0.137,0,0
2023-24,"Legislative, Judicial, and Executive",Legislators,0150,0,0,0,0,,,,
2023-24,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2023-24,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0,0,0,0,,,,
2023-24,"Legislative, Judicial, and Executive",CalSavers Retirement Savings Board,0984,0,0,0,0,,,,
2023-24,Natural Resources,,,7.838,2.857,0.749,0.354,8.694,3.776,1.579,0.218
2023-24,Natural Resources,"Department of Forestry, Fire Protection",3540,2.897,0.386,0,0.03,2.67,0.378,0,0.035
2023-24,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,0.351,1.307,0,0.006,0.188,1.153,0,0.012
2023-24,Natural Resources,Department of Water Resources,3860,0.859,0.046,0.531,0.055,1.659,0.971,1.374,0.021
2023-24,Natural Resources,"Department of Parks, Recreation",3790,0.386,0.445,0.037,0.105,0.626,0.424,0.059,0.033
2023-24,Natural Resources,Department of Fish and Wildlife,3600,0.257,0.331,0.101,0.095,0.397,0.308,0.025,0.083
